,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Sonic Forest (Déjame Respirar),0.793,0.812,3,-6.749,0,0.0944,0.224,1.79e-05,0.1,0.532,105.005,audio_features,6hreQzJujmQLr88N0fTLO3,spotify:track:6hreQzJujmQLr88N0fTLO3,https://api.spotify.com/v1/tracks/6hreQzJujmQLr88N0fTLO3,https://api.spotify.com/v1/audio-analysis/6hreQzJujmQLr88N0fTLO3,169095,4
1,Emptiness and Aitebar - Live,0.29,0.459,3,-8.89,1,0.0274,0.318,1.92e-05,0.699,0.166,143.144,audio_features,1fzXNZPqinQMQRrB7sJ8Gq,spotify:track:1fzXNZPqinQMQRrB7sJ8Gq,https://api.spotify.com/v1/tracks/1fzXNZPqinQMQRrB7sJ8Gq,https://api.spotify.com/v1/audio-analysis/1fzXNZPqinQMQRrB7sJ8Gq,232176,4
2,Renegades,0.526,0.862,2,-6.003,1,0.0905,0.0144,0.0597,0.229,0.528,90.052,audio_features,0fYVliAYKHuPmECRs1pbRf,spotify:track:0fYVliAYKHuPmECRs1pbRf,https://api.spotify.com/v1/tracks/0fYVliAYKHuPmECRs1pbRf,https://api.spotify.com/v1/audio-analysis/0fYVliAYKHuPmECRs1pbRf,195200,4
3,Death Row,0.629,0.553,0,-9.059,0,0.243,0.0558,0.0,0.173,0.57,175.675,audio_features,0Rx6TVOQ137NAN4UZF6GmT,spotify:track:0Rx6TVOQ137NAN4UZF6GmT,https://api.spotify.com/v1/tracks/0Rx6TVOQ137NAN4UZF6GmT,https://api.spotify.com/v1/audio-analysis/0Rx6TVOQ137NAN4UZF6GmT,221591,4
4,Let It Happen,0.602,0.881,1,-5.875,0,0.0443,0.00462,0.0266,0.111,0.577,125.012,audio_features,2X485T9Z5Ly0xyaghN73ed,spotify:track:2X485T9Z5Ly0xyaghN73ed,https://api.spotify.com/v1/tracks/2X485T9Z5Ly0xyaghN73ed,https://api.spotify.com/v1/audio-analysis/2X485T9Z5Ly0xyaghN73ed,467587,4
5,Waxing - Stand Up Comedy ft. Anubhav Singh Bassi,0.46,0.826,5,-11.218,0,0.894,0.899,0.0,0.73,0.654,86.592,audio_features,4mvCEPjxQerztXY2nMNW6s,spotify:track:4mvCEPjxQerztXY2nMNW6s,https://api.spotify.com/v1/tracks/4mvCEPjxQerztXY2nMNW6s,https://api.spotify.com/v1/audio-analysis/4mvCEPjxQerztXY2nMNW6s,2226300,4
6,THE SHADE,0.898,0.509,5,-7.973,1,0.062,0.391,0.0,0.0876,0.727,119.869,audio_features,1gH1h30wkQdd9zhY3j7a8T,spotify:track:1gH1h30wkQdd9zhY3j7a8T,https://api.spotify.com/v1/tracks/1gH1h30wkQdd9zhY3j7a8T,https://api.spotify.com/v1/audio-analysis/1gH1h30wkQdd9zhY3j7a8T,181507,4
7,The Less I Know The Better,0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,audio_features,6K4t31amVTZDgR3sKmwUJJ,spotify:track:6K4t31amVTZDgR3sKmwUJJ,https://api.spotify.com/v1/tracks/6K4t31amVTZDgR3sKmwUJJ,https://api.spotify.com/v1/audio-analysis/6K4t31amVTZDgR3sKmwUJJ,216320,4
8,Tear in My Heart,0.655,0.632,2,-4.802,1,0.0489,0.0189,0.0,0.0722,0.447,120.113,audio_features,3bnVBN67NBEzedqQuWrpP4,spotify:track:3bnVBN67NBEzedqQuWrpP4,https://api.spotify.com/v1/tracks/3bnVBN67NBEzedqQuWrpP4,https://api.spotify.com/v1/audio-analysis/3bnVBN67NBEzedqQuWrpP4,188493,4
9,Kabira,0.59,0.555,2,-6.861,1,0.0271,0.481,0.0,0.192,0.191,84.027,audio_features,4bD9z9qa4qg9BhryvYWB7c,spotify:track:4bD9z9qa4qg9BhryvYWB7c,https://api.spotify.com/v1/tracks/4bD9z9qa4qg9BhryvYWB7c,https://api.spotify.com/v1/audio-analysis/4bD9z9qa4qg9BhryvYWB7c,223460,4
